date,metric,value,segment,unit
2026-01-05,gmv,4000000,all,CNY
2026-01-05,orders,32000,all,count
2026-01-05,conversion_rate,0.0350,all,ratio
2026-01-05,aov,125,all,CNY
2026-01-05,gross_margin_rate,0.3600,all,ratio
2026-01-05,refund_rate,0.0250,all,ratio
2026-01-05,return_rate,0.0400,all,ratio
2026-01-05,late_delivery_rate,0.0550,all,ratio
2026-01-05,stockout_rate,0.0350,all,ratio
2026-01-05,repeat_purchase_rate,0.3100,all,ratio
2026-01-12,gmv,4030000,all,CNY
2026-01-12,orders,32300,all,count
2026-01-12,conversion_rate,0.0351,all,ratio
2026-01-12,aov,125.2000,all,CNY
2026-01-12,gross_margin_rate,0.3595,all,ratio
2026-01-12,refund_rate,0.0252,all,ratio
2026-01-12,return_rate,0.0401,all,ratio
2026-01-12,late_delivery_rate,0.0553,all,ratio
2026-01-12,stockout_rate,0.0352,all,ratio
2026-01-12,repeat_purchase_rate,0.3095,all,ratio
2026-01-19,gmv,4060000,all,CNY
2026-01-19,orders,32600,all,count
2026-01-19,conversion_rate,0.0352,all,ratio
2026-01-19,aov,125.4000,all,CNY
2026-01-19,gross_margin_rate,0.3590,all,ratio
2026-01-19,refund_rate,0.0254,all,ratio
2026-01-19,return_rate,0.0403,all,ratio
2026-01-19,late_delivery_rate,0.0556,all,ratio
2026-01-19,stockout_rate,0.0354,all,ratio
2026-01-19,repeat_purchase_rate,0.3090,all,ratio
2026-01-26,gmv,4090000,all,CNY
2026-01-26,orders,32900,all,count
2026-01-26,conversion_rate,0.0353,all,ratio
2026-01-26,aov,125.6000,all,CNY
2026-01-26,gross_margin_rate,0.3585,all,ratio
2026-01-26,refund_rate,0.0256,all,ratio
2026-01-26,return_rate,0.0404,all,ratio
2026-01-26,late_delivery_rate,0.0559,all,ratio
2026-01-26,stockout_rate,0.0356,all,ratio
2026-01-26,repeat_purchase_rate,0.3085,all,ratio
2026-02-02,gmv,4120000,all,CNY
2026-02-02,orders,33200,all,count
2026-02-02,conversion_rate,0.0354,all,ratio
2026-02-02,aov,125.8000,all,CNY
2026-02-02,gross_margin_rate,0.3580,all,ratio
2026-02-02,refund_rate,0.0258,all,ratio
2026-02-02,return_rate,0.0406,all,ratio
2026-02-02,late_delivery_rate,0.0562,all,ratio
2026-02-02,stockout_rate,0.0358,all,ratio
2026-02-02,repeat_purchase_rate,0.3080,all,ratio
2026-02-09,gmv,4150000,all,CNY
2026-02-09,orders,33500,all,count
2026-02-09,conversion_rate,0.0355,all,ratio
2026-02-09,aov,126,all,CNY
2026-02-09,gross_margin_rate,0.3575,all,ratio
2026-02-09,refund_rate,0.0260,all,ratio
2026-02-09,return_rate,0.0408,all,ratio
2026-02-09,late_delivery_rate,0.0565,all,ratio
2026-02-09,stockout_rate,0.0360,all,ratio
2026-02-09,repeat_purchase_rate,0.3075,all,ratio
2026-02-16,gmv,4180000,all,CNY
2026-02-16,orders,33800,all,count
2026-02-16,conversion_rate,0.0356,all,ratio
2026-02-16,aov,126.2000,all,CNY
2026-02-16,gross_margin_rate,0.3570,all,ratio
2026-02-16,refund_rate,0.0262,all,ratio
2026-02-16,return_rate,0.0409,all,ratio
2026-02-16,late_delivery_rate,0.0568,all,ratio
2026-02-16,stockout_rate,0.0362,all,ratio
2026-02-16,repeat_purchase_rate,0.3070,all,ratio
2026-02-23,gmv,4210000,all,CNY
2026-02-23,orders,34100,all,count
2026-02-23,conversion_rate,0.0357,all,ratio
2026-02-23,aov,126.4000,all,CNY
2026-02-23,gross_margin_rate,0.3565,all,ratio
2026-02-23,refund_rate,0.0264,all,ratio
2026-02-23,return_rate,0.0411,all,ratio
2026-02-23,late_delivery_rate,0.0571,all,ratio
2026-02-23,stockout_rate,0.0364,all,ratio
2026-02-23,repeat_purchase_rate,0.3065,all,ratio
2026-03-02,gmv,4240000,all,CNY
2026-03-02,orders,34400,all,count
2026-03-02,conversion_rate,0.0358,all,ratio
2026-03-02,aov,126.6000,all,CNY
2026-03-02,gross_margin_rate,0.3560,all,ratio
2026-03-02,refund_rate,0.0266,all,ratio
2026-03-02,return_rate,0.0412,all,ratio
2026-03-02,late_delivery_rate,0.0574,all,ratio
2026-03-02,stockout_rate,0.0366,all,ratio
2026-03-02,repeat_purchase_rate,0.3060,all,ratio
2026-03-09,gmv,4270000,all,CNY
2026-03-09,orders,34700,all,count
2026-03-09,conversion_rate,0.0359,all,ratio
2026-03-09,aov,126.8000,all,CNY
2026-03-09,gross_margin_rate,0.3555,all,ratio
2026-03-09,refund_rate,0.0268,all,ratio
2026-03-09,return_rate,0.0413,all,ratio
2026-03-09,late_delivery_rate,0.0577,all,ratio
2026-03-09,stockout_rate,0.0368,all,ratio
2026-03-09,repeat_purchase_rate,0.3055,all,ratio
2026-03-16,gmv,4300000,all,CNY
2026-03-16,orders,35000,all,count
2026-03-16,conversion_rate,0.0360,all,ratio
2026-03-16,aov,127,all,CNY
2026-03-16,gross_margin_rate,0.3550,all,ratio
2026-03-16,refund_rate,0.0270,all,ratio
2026-03-16,return_rate,0.0415,all,ratio
2026-03-16,late_delivery_rate,0.0580,all,ratio
2026-03-16,stockout_rate,0.0370,all,ratio
2026-03-16,repeat_purchase_rate,0.3050,all,ratio
2026-03-23,gmv,4330000,all,CNY
2026-03-23,orders,35300,all,count
2026-03-23,conversion_rate,0.0361,all,ratio
2026-03-23,aov,127.2000,all,CNY
2026-03-23,gross_margin_rate,0.3545,all,ratio
2026-03-23,refund_rate,0.0272,all,ratio
2026-03-23,return_rate,0.0416,all,ratio
2026-03-23,late_delivery_rate,0.0583,all,ratio
2026-03-23,stockout_rate,0.0372,all,ratio
2026-03-23,repeat_purchase_rate,0.3045,all,ratio
2026-03-30,gmv,4360000,all,CNY
2026-03-30,orders,35600,all,count
2026-03-30,conversion_rate,0.0362,all,ratio
2026-03-30,aov,127.4000,all,CNY
2026-03-30,gross_margin_rate,0.3540,all,ratio
2026-03-30,refund_rate,0.0274,all,ratio
2026-03-30,return_rate,0.0418,all,ratio
2026-03-30,late_delivery_rate,0.0586,all,ratio
2026-03-30,stockout_rate,0.0374,all,ratio
2026-03-30,repeat_purchase_rate,0.3040,all,ratio
2026-04-06,gmv,4390000,all,CNY
2026-04-06,orders,35900,all,count
2026-04-06,conversion_rate,0.0363,all,ratio
2026-04-06,aov,127.6000,all,CNY
2026-04-06,gross_margin_rate,0.3535,all,ratio
2026-04-06,refund_rate,0.0276,all,ratio
2026-04-06,return_rate,0.0420,all,ratio
2026-04-06,late_delivery_rate,0.0589,all,ratio
2026-04-06,stockout_rate,0.0376,all,ratio
2026-04-06,repeat_purchase_rate,0.3035,all,ratio
2026-04-13,gmv,5220000,all,CNY
2026-04-13,orders,44621,all,count
2026-04-13,conversion_rate,0.0424,all,ratio
2026-04-13,aov,115.8000,all,CNY
2026-04-13,gross_margin_rate,0.2730,all,ratio
2026-04-13,refund_rate,0.0458,all,ratio
2026-04-13,return_rate,0.0621,all,ratio
2026-04-13,late_delivery_rate,0.1492,all,ratio
2026-04-13,stockout_rate,0.1078,all,ratio
2026-04-13,repeat_purchase_rate,0.2630,all,ratio
2026-04-20,gmv,6050000,all,CNY
2026-04-20,orders,53342,all,count
2026-04-20,conversion_rate,0.0425,all,ratio
2026-04-20,aov,116,all,CNY
2026-04-20,gross_margin_rate,0.2725,all,ratio
2026-04-20,refund_rate,0.0460,all,ratio
2026-04-20,return_rate,0.0622,all,ratio
2026-04-20,late_delivery_rate,0.1495,all,ratio
2026-04-20,stockout_rate,0.1080,all,ratio
2026-04-20,repeat_purchase_rate,0.2625,all,ratio
2026-04-27,gmv,6680000,all,CNY
2026-04-27,orders,59958,all,count
2026-04-27,conversion_rate,0.0426,all,ratio
2026-04-27,aov,116.2000,all,CNY
2026-04-27,gross_margin_rate,0.2720,all,ratio
2026-04-27,refund_rate,0.0462,all,ratio
2026-04-27,return_rate,0.0624,all,ratio
2026-04-27,late_delivery_rate,0.1498,all,ratio
2026-04-27,stockout_rate,0.1082,all,ratio
2026-04-27,repeat_purchase_rate,0.2620,all,ratio
2026-05-04,gmv,6210000,all,CNY
2026-05-04,orders,54995,all,count
2026-05-04,conversion_rate,0.0427,all,ratio
2026-05-04,aov,116.4000,all,CNY
2026-05-04,gross_margin_rate,0.2715,all,ratio
2026-05-04,refund_rate,0.0464,all,ratio
2026-05-04,return_rate,0.0625,all,ratio
2026-05-04,late_delivery_rate,0.1501,all,ratio
2026-05-04,stockout_rate,0.1084,all,ratio
2026-05-04,repeat_purchase_rate,0.2615,all,ratio
2026-05-11,gmv,5440000,all,CNY
