date,metric,value,segment,unit
2026-01-05,mrr,1200000,all,CNY
2026-01-05,trial_signups,900,all,count
2026-01-05,activation_rate,0.4600,all,ratio
2026-01-05,retention_8w,0.7200,all,ratio
2026-01-05,churn_rate,0.0270,all,ratio
2026-01-05,expansion_revenue,140000,all,CNY
2026-01-05,cac,680,all,CNY
2026-01-05,support_backlog,160,all,count
2026-01-12,mrr,1228000,all,CNY
2026-01-12,trial_signups,928,all,count
2026-01-12,activation_rate,0.4580,all,ratio
2026-01-12,retention_8w,0.7175,all,ratio
2026-01-12,churn_rate,0.0273,all,ratio
2026-01-12,expansion_revenue,145000,all,CNY
2026-01-12,cac,688,all,CNY
2026-01-12,support_backlog,165,all,count
2026-01-19,mrr,1256000,all,CNY
2026-01-19,trial_signups,956,all,count
2026-01-19,activation_rate,0.4560,all,ratio
2026-01-19,retention_8w,0.7150,all,ratio
2026-01-19,churn_rate,0.0276,all,ratio
2026-01-19,expansion_revenue,150000,all,CNY
2026-01-19,cac,696,all,CNY
2026-01-19,support_backlog,170,all,count
2026-01-26,mrr,1284000,all,CNY
2026-01-26,trial_signups,984,all,count
2026-01-26,activation_rate,0.4540,all,ratio
2026-01-26,retention_8w,0.7125,all,ratio
2026-01-26,churn_rate,0.0279,all,ratio
2026-01-26,expansion_revenue,155000,all,CNY
2026-01-26,cac,704,all,CNY
2026-01-26,support_backlog,175,all,count
2026-02-02,mrr,1312000,all,CNY
2026-02-02,trial_signups,1012,all,count
2026-02-02,activation_rate,0.4520,all,ratio
2026-02-02,retention_8w,0.7100,all,ratio
2026-02-02,churn_rate,0.0282,all,ratio
2026-02-02,expansion_revenue,160000,all,CNY
2026-02-02,cac,712,all,CNY
2026-02-02,support_backlog,180,all,count
2026-02-09,mrr,1340000,all,CNY
2026-02-09,trial_signups,1040,all,count
2026-02-09,activation_rate,0.4500,all,ratio
2026-02-09,retention_8w,0.7075,all,ratio
2026-02-09,churn_rate,0.0285,all,ratio
2026-02-09,expansion_revenue,165000,all,CNY
2026-02-09,cac,720,all,CNY
2026-02-09,support_backlog,185,all,count
2026-02-16,mrr,1368000,all,CNY
2026-02-16,trial_signups,1068,all,count
2026-02-16,activation_rate,0.4480,all,ratio
2026-02-16,retention_8w,0.7050,all,ratio
2026-02-16,churn_rate,0.0288,all,ratio
2026-02-16,expansion_revenue,170000,all,CNY
2026-02-16,cac,728,all,CNY
2026-02-16,support_backlog,190,all,count
2026-02-23,mrr,1396000,all,CNY
2026-02-23,trial_signups,1096,all,count
2026-02-23,activation_rate,0.4460,all,ratio
2026-02-23,retention_8w,0.7025,all,ratio
2026-02-23,churn_rate,0.0291,all,ratio
2026-02-23,expansion_revenue,175000,all,CNY
2026-02-23,cac,736,all,CNY
2026-02-23,support_backlog,195,all,count
2026-03-02,mrr,1424000,all,CNY
2026-03-02,trial_signups,1124,all,count
2026-03-02,activation_rate,0.4440,all,ratio
2026-03-02,retention_8w,0.7000,all,ratio
2026-03-02,churn_rate,0.0294,all,ratio
2026-03-02,expansion_revenue,180000,all,CNY
2026-03-02,cac,744,all,CNY
2026-03-02,support_backlog,200,all,count
2026-03-09,mrr,1452000,all,CNY
2026-03-09,trial_signups,1152,all,count
2026-03-09,activation_rate,0.4420,all,ratio
2026-03-09,retention_8w,0.6975,all,ratio
2026-03-09,churn_rate,0.0297,all,ratio
2026-03-09,expansion_revenue,185000,all,CNY
2026-03-09,cac,752,all,CNY
2026-03-09,support_backlog,205,all,count
2026-03-16,mrr,1480000,all,CNY
2026-03-16,trial_signups,1180,all,count
2026-03-16,activation_rate,0.4400,all,ratio
2026-03-16,retention_8w,0.6950,all,ratio
